config,side,model,ctx,mva,strategy_forced,strategy_active,overlap,n_pinned,cache_ubatch,prompt_tps,decode_tps,vram_peak_delta,token_hash,status
# idle_used=1194
q35-c2048-mva2000,stock,q35,2048,2000,,,,,2048,73.27,12.52,2711,ecb043a95a140419,OK
q35-c2048-mva2000-sauto,pshard,q35,2048,2000,auto,STATIC_ATTNPRIO_ALLMODELS,1,1,2048,614.92,26.57,2317,ecb043a95a140419,OK
q35-c2048-mva2000-s0,pshard,q35,2048,2000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,1,2048,603.14,2.05,2317,ecb043a95a140419,OK
q35-c2048-mva2000-s1,pshard,q35,2048,2000,1,STATIC_ATTNPRIO_ALLMODELS,1,0,2048,105.20,28.51,2269,ecb043a95a140419,OK
q35-c2048-mva2000-s2,pshard,q35,2048,2000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,3,2048,192.73,14.53,2321,ecb043a95a140419,OK
q35-c2048-mva2000-s3,pshard,q35,2048,2000,3,STATIC_ATTNPRIO_ALLMODELS,1,1,2048,627.78,26.59,2317,ecb043a95a140419,OK
q35-c2048-mva2000-s4,pshard,q35,2048,2000,4,DYNAMIC_FFN_ALTERNATE,1,0,2048,275.82,9.02,2321,ecb043a95a140419,OK
q35-c2048-mva4000,stock,q35,2048,4000,,,,,2048,73.74,20.60,4443,ecb043a95a140419,OK
q35-c2048-mva4000-sauto,pshard,q35,2048,4000,auto,STATIC_ATTNPRIO_ALLMODELS,1,4,2048,691.87,42.36,4317,ecb043a95a140419,OK
q35-c2048-mva4000-s0,pshard,q35,2048,4000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,5,2048,656.40,2.29,4317,ecb043a95a140419,OK
q35-c2048-mva4000-s1,pshard,q35,2048,4000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,4,2048,661.04,28.53,4321,ecb043a95a140419,OK
q35-c2048-mva4000-s2,pshard,q35,2048,4000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,7,2048,219.16,15.64,4321,ecb043a95a140419,OK
q35-c2048-mva4000-s3,pshard,q35,2048,4000,3,STATIC_ATTNPRIO_ALLMODELS,1,4,2048,683.62,42.67,4317,ecb043a95a140419,OK
q35-c2048-mva4000-s4,pshard,q35,2048,4000,4,DYNAMIC_FFN_ALTERNATE,1,3,2048,295.35,37.18,4313,ecb043a95a140419,OK
q35-c2048-mva8000,stock,q35,2048,8000,,,,,2048,104.00,44.01,8333,ecb043a95a140419,OK
q35-c2048-mva8000-sauto,pshard,q35,2048,8000,auto,STATIC_ATTNPRIO_ALLMODELS,1,12,2048,813.74,51.46,8317,ecb043a95a140419,OK
q35-c2048-mva8000-s0,pshard,q35,2048,8000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,13,2048,758.60,2.93,8325,ecb043a95a140419,OK
q35-c2048-mva8000-s1,pshard,q35,2048,8000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,12,2048,778.94,32.64,8321,ecb043a95a140419,OK
q35-c2048-mva8000-s2,pshard,q35,2048,8000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,15,2048,284.40,19.08,8325,ecb043a95a140419,OK
q35-c2048-mva8000-s3,pshard,q35,2048,8000,3,STATIC_ATTNPRIO_ALLMODELS,1,12,2048,799.87,51.32,8325,ecb043a95a140419,OK
q35-c2048-mva8000-s4,pshard,q35,2048,8000,4,DYNAMIC_FFN_ALTERNATE,1,11,2048,370.63,46.10,8321,ecb043a95a140419,OK
q35-c2048-mva12000,stock,q35,2048,12000,,,,,2048,140.17,53.83,12369,ecb043a95a140419,OK
q35-c2048-mva12000-sauto,pshard,q35,2048,12000,auto,STATIC_ATTNPRIO_ALLMODELS,1,21,2048,991.85,65.64,12323,ecb043a95a140419,OK
q35-c2048-mva12000-s0,pshard,q35,2048,12000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,21,2048,925.29,4.08,12325,ecb043a95a140419,OK
q35-c2048-mva12000-s1,pshard,q35,2048,12000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,21,2048,929.20,36.27,12325,ecb043a95a140419,OK
q35-c2048-mva12000-s2,pshard,q35,2048,12000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,23,2048,388.84,24.92,12327,ecb043a95a140419,OK
q35-c2048-mva12000-s3,pshard,q35,2048,12000,3,STATIC_ATTNPRIO_ALLMODELS,1,21,2048,979.48,66.28,12315,ecb043a95a140419,OK
q35-c2048-mva12000-s4,pshard,q35,2048,12000,4,DYNAMIC_FFN_ALTERNATE,1,20,2048,457.55,57.86,12326,ecb043a95a140419,OK
q35-c16384-mva2000,stock,q35,16384,2000,,,,,16384,,,7639,d41d8cd98f00b204,FAIL
q35-c16384-mva2000-sauto,pshard,q35,16384,2000,auto,DYNAMIC_FFNCPU_ATTNSTREAM,1,3,16384,5014.59,13.33,2702,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1366)
q35-c16384-mva2000-s0,pshard,q35,16384,2000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,1,16384,5107.91,2.17,2597,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1420)
q35-c16384-mva2000-s1,pshard,q35,16384,2000,1,STATIC_ATTNPRIO_ALLMODELS,1,0,16384,103.44,28.21,3084,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1554)
q35-c16384-mva2000-s2,pshard,q35,16384,2000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,3,16384,200.20,12.42,2892,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1685)
q35-c16384-mva2000-s3,pshard,q35,16384,2000,3,STATIC_ATTNPRIO_ALLMODELS,1,3,16384,3648.04,11.21,2998,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1366)
q35-c16384-mva2000-s4,pshard,q35,16384,2000,4,DYNAMIC_FFN_ALTERNATE,1,0,16384,343.53,7.65,3050,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1357)
q35-c16384-mva4000,stock,q35,16384,4000,,,,,16384,,,229,d41d8cd98f00b204,FAIL
q35-c16384-mva4000-sauto,pshard,q35,16384,4000,auto,DYNAMIC_FFNCPU_ATTNSTREAM,1,7,16384,5119.95,14.50,4443,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1545)
q35-c16384-mva4000-s0,pshard,q35,16384,4000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,5,16384,5101.80,2.43,4439,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1545)
q35-c16384-mva4000-s1,pshard,q35,16384,4000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,3,16384,4040.60,29.30,4443,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1382)
q35-c16384-mva4000-s2,pshard,q35,16384,4000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,7,16384,227.55,14.93,4343,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1454)
q35-c16384-mva4000-s3,pshard,q35,16384,4000,3,STATIC_ATTNPRIO_ALLMODELS,1,6,16384,3914.00,14.68,4605,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1539)
q35-c16384-mva4000-s4,pshard,q35,16384,4000,4,DYNAMIC_FFN_ALTERNATE,1,2,16384,406.06,36.11,4370,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1373)
q35-c16384-mva8000,stock,q35,16384,8000,,,,,16384,,,2945,d41d8cd98f00b204,FAIL
q35-c16384-mva8000-sauto,pshard,q35,16384,8000,auto,STATIC_ATTNPRIO_ALLMODELS,1,12,16384,5044.72,43.27,8147,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1533)
q35-c16384-mva8000-s0,pshard,q35,16384,8000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,12,16384,5092.85,3.01,8151,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1452)
q35-c16384-mva8000-s1,pshard,q35,16384,8000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,12,16384,4694.62,31.82,8279,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1533)
q35-c16384-mva8000-s2,pshard,q35,16384,8000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,15,16384,301.43,17.94,8015,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1599)
q35-c16384-mva8000-s3,pshard,q35,16384,8000,3,STATIC_ATTNPRIO_ALLMODELS,1,12,16384,4139.85,45.37,8279,6e83fa02a3d66005,PPL_MISMATCH(stock= pshard=1.1500)
q35-c16384-mva8000-s4,pshard,q35,16384,8000,4,DYNAMIC_FFN_ALTERNATE,1,11,16384,484.83,45.31,8025,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1535)
q35-c16384-mva12000,stock,q35,16384,12000,,,,,16384,,,7342,d41d8cd98f00b204,FAIL
q35-c16384-mva12000-sauto,pshard,q35,16384,12000,auto,STATIC_ATTNPRIO_ALLMODELS,1,20,16384,4952.59,52.92,12008,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1520)
q35-c16384-mva12000-s0,pshard,q35,16384,12000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,20,16384,5056.98,4.11,12111,1ab41fb1b74784cc,PPL_MISMATCH(stock= pshard=1.1578)
